box,confidence,image_path
"[1529, 1675, 126, 162]",0.9997082352638245,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[3278, 1535, 99, 120]",0.9995995163917542,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1222, 1477, 79, 93]",0.9993988275527954,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1578, 1439, 75, 95]",0.999066174030304,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[204, 1380, 80, 90]",0.998865008354187,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[2144, 1464, 84, 104]",0.9988548755645752,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[2378, 1486, 80, 104]",0.9984475374221802,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[3394, 1462, 64, 81]",0.9980756044387817,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[3549, 1489, 85, 106]",0.9974340796470642,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1694, 1441, 55, 66]",0.9970360994338989,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[2614, 1580, 109, 132]",0.9964744448661804,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1279, 1363, 45, 53]",0.9867462515830994,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[2200, 1415, 52, 62]",0.9855973124504089,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1401, 1381, 50, 60]",0.9763181805610657,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1983, 1397, 39, 49]",0.9620018601417542,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[1749, 1407, 48, 60]",0.9587079286575317,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
"[326, 1415, 53, 64]",0.9358221888542175,D:\1- ws.projects\medface.webapp\media/runs\3\1\2023-12-06\3\207\3.jpeg
